Date Skadi Lotta Wanda Lilu
'2019-06-09' 120 97 100 100
'2019-06-10' 146 109 126 117
'2019-06-11' 161 127 142 135
'2019-06-12' 181 145 160 152
'2019-06-13' 197 161 176 164
'2019-06-14' 212 176 191 177
'2019-06-15' 224 185 204 193
'2019-06-16' 234 198 214 213
'2019-06-17' 247 207 226 227
'2019-06-18' 250 219 229 237
'2019-06-19' 263 229 249 255
'2019-06-20' 286 239 270 263
'2019-06-21' 291 244 280 273
'2019-06-22' 308 256 288 285
'2019-06-23' 331 265 304 304
'2019-06-24' 338 277 314 309
'2019-06-25' 348 286 332 317
'2019-06-26' 367 297 349 340
'2019-06-27' 385 317 363 359
'2019-06-28' 395 330 373 368
'2019-06-29' 416 342 380 371
'2019-06-30' 427 357 407 399
'2019-07-01' 435 379 418 408
'2019-07-02' 462 390 439 422
'2019-07-03' 481 406 452 436
'2019-07-04' 496 410 459 445
'2019-07-05' 506 413 475 452
'2019-07-06' 517 416 491 460
'2019-07-07' 517 434 493 463
'2019-07-08' 540 446 505 476
'2019-07-09' 550 462 516 463
'2019-07-10' 566 474 520 480
'2019-07-11' 570 489 524 485
'2019-07-12' 577 498 556 532
'2019-07-13' 595 515 562 519
'2019-07-14' 614 540 581 550
'2019-07-15' 625 545 600 563
'2019-07-16' 638 571 606 574
'2019-07-17' 661 588 629 626
'2019-07-18' 682 598 661 655
'2019-07-19' 693 616 660 661
'2019-07-20' 712 633 681 660
'2019-07-21' 711 639 674 657
'2019-07-22' 733 670 720 683
'2019-07-23' 759 670 730 715
'2019-07-24' 776 710 754 736
'2019-07-25' 772 709 762 743
'2019-07-26' 797 709 785 790
'2019-07-27' 818 751 808 778
'2019-07-28' 842 777 806 832
'2019-07-29' 840 783 830 842
'2019-07-30' 839 789 840 835
'2019-07-31' 875 807 852 871
'2019-08-01' 943 857 872 936
'2019-08-02' 942 860 902 946
'2019-08-03' 941 863 932 957
'2019-08-04' 962 890 968 978
'2019-08-05' 973 922 970 982
'2019-08-06' 990 930 1007 982
'2019-08-07' 1044 938 1046 1089
'2019-08-08' 1052 977 1045 1086
'2019-08-09' 1077 983 1063 1083
'2019-08-10' 1095 992 1086 1066
'2019-08-11' 1113 1018 1113 1075
'2019-08-12' 1132 1044 1140 1084
'2019-08-13' 1150 1062 1130 1126
'2019-08-14' 1194 1076 1150 1162
'2019-08-15' 1238 1090 1170 1198
'2019-08-16' 1217 1114 1202 1260
'2019-08-17' 1223 1121 1213 1216
'2019-08-18' 1230 1138 1222 1224
'2019-08-19' 1238 1156 1232 1232
'2019-08-20' 1173 1173 1267 1245
'2019-08-21' 1290 1173 1280 1249
'2019-08-22' 1290 1192 1296 1273
'2019-08-23' 1290 1212 1312 1297
'2019-08-24' 1332 1242 1339 1347
'2019-08-25' 1375 1272 1366 1398
'2019-08-26' 1387 1279 1390 1400
'2019-08-27' 1400 1287 1416 1403
'2019-08-28' 1420 1316 1441 1446
'2019-08-29' 1441 1345 1467 1490
'2019-08-30' 1485 1373 1476 1509
'2019-08-31' 1532 1402 1485 1528
'2019-09-01' 1533 1396 1497 1528
'2019-09-02' 1534 1390 1509 1528
'2020-06-09' 3675 3200 3200 4000
